district,date,value
NPL001,1992-11-01,18.2305
NPL001,1992-12-01,15.8031
NPL001,1993-01-01,54.6646
NPL001,1993-02-01,46.7548
NPL001,1993-03-01,49.7033
NPL001,1993-04-01,89.1967
NPL001,1993-05-01,132.2786
NPL001,1993-06-01,154.7532
NPL001,1993-07-01,181.1975
NPL001,1993-08-01,258.287
NPL001,1993-09-01,133.6943
NPL001,1993-10-01,45.8852
NPL001,1993-11-01,33.2545
NPL001,1993-12-01,13.6606
NPL001,1994-01-01,41.5364
NPL001,1994-02-01,50.6793
NPL001,1994-03-01,77.6749
NPL001,1994-04-01,96.5499
NPL001,1994-05-01,58.0159
NPL001,1994-06-01,202.2354
NPL001,1994-07-01,157.526
NPL001,1994-08-01,256.6933
NPL001,1994-09-01,118.6536
NPL001,1994-10-01,38.7639
NPL001,1994-11-01,19.8023
NPL001,1994-12-01,9.7091
NPL001,1995-01-01,48.2626
NPL001,1995-02-01,54.6787
NPL001,1995-03-01,62.533
NPL001,1995-04-01,53.8209
NPL001,1995-05-01,75.1097
NPL001,1995-06-01,216.0108
NPL001,1995-07-01,199.7773
NPL001,1995-08-01,238.8996
NPL001,1995-09-01,153.6413
NPL001,1995-10-01,20.8367
NPL001,1995-11-01,80.2136
NPL001,1995-12-01,25.5328
NPL001,1996-01-01,55.692
NPL001,1996-02-01,50.3535
NPL001,1996-03-01,75.8125
NPL001,1996-04-01,35.2744
NPL001,1996-05-01,101.6657
NPL001,1996-06-01,146.7776
NPL001,1996-07-01,259.5492
NPL001,1996-08-01,242.3768
NPL001,1996-09-01,88.718
NPL001,1996-10-01,66.2623
NPL001,1996-11-01,20.7608
NPL001,1996-12-01,13.2131
NPL001,1997-01-01,28.8227
NPL001,1997-02-01,34.4033
NPL001,1997-03-01,58.9809
NPL001,1997-04-01,111.438
NPL001,1997-05-01,61.8834
NPL001,1997-06-01,223.069
NPL001,1997-07-01,236.5561
NPL001,1997-08-01,273.9741
NPL001,1997-09-01,131.6397
NPL001,1997-10-01,23.8311
NPL001,1997-11-01,19.6204
NPL001,1997-12-01,42.8573
NPL001,1998-01-01,20.538
NPL001,1998-02-01,25.3424
NPL001,1998-03-01,123.7595
NPL001,1998-04-01,71.8776
NPL001,1998-05-01,120.5372
NPL001,1998-06-01,203.9581
NPL001,1998-07-01,225.3535
NPL001,1998-08-01,293.191
NPL001,1998-09-01,183.5497
NPL001,1998-10-01,31.554
NPL001,1998-11-01,14.3637
NPL001,1998-12-01,8.2801
NPL001,1999-01-01,10.2122
NPL001,1999-02-01,12.7195
NPL001,1999-03-01,26.5667
NPL001,1999-04-01,73.7961
NPL001,1999-05-01,139.6205
NPL001,1999-06-01,170.8906
NPL001,1999-07-01,272.2467
NPL001,1999-08-01,223.3458
NPL001,1999-09-01,134.3593
