fiscal_year,base_year,sr_no,group_code,cmdty_code,description,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fy_avg_index
2016-2017,2007-08,77,06,70,Doctor (MBBS) Clinic Fee,260.45,260.45,264.28,266.89,269.5,270.37,271.39,275.73,277.47,280.95,280.95,280.95,271.62
2016-2017,2007-08,78,06,71,Medical Tests,187.65,188.31,188.05,188.77,189.39,190.38,190.38,193.51,194.69,195.45,196.52,196.52,191.64
2016-2017,2007-08,79,07,00,Transport,169.78,170.1,170.31,170.4,170.65,172.01,172.81,174.75,175.69,176.33,176.43,175.87,172.93
2016-2017,2007-08,80,07,72,Motor Vehicles,167.27,170.42,171,170.94,171.44,171.6,171.79,172.13,172.91,173.26,175.12,175.81,171.97
2016-2017,2007-08,81,07,73,Motor Vehicle Accessories,213.84,214.24,213.67,213.17,213.96,213.37,213.33,213.44,213.27,212.27,211.92,211.58,213.17
2016-2017,2007-08,82,07,74,Motor Fuel,135.77,135.58,136.01,136.36,136.75,139.99,141.65,146.07,148.11,149.4,149.18,147.67,141.88
2016-2017,2007-08,83,07,75,Mechanical Service,227.35,227.4,227.4,227.63,227.84,227.84,228.81,229.62,229.92,230.12,230.37,230.82,228.76
2016-2017,2007-08,84,07,76,Motor Vehicle Tax,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18
2016-2017,2007-08,85,07,77,Transport Services,193.15,193.4,193.4,193.28,193.28,193.28,193.34,193.34,193.34,193.56,193.59,193.59,193.38
2016-2017,2007-08,86,08,00,Communication,130.89,130.9,130.88,131.26,131.52,131.53,131.54,131.58,132.69,132.87,132.87,132.91,131.79
2016-2017,2007-08,87,08,78,Postal Services,240.38,240.63,242.74,243.32,244.7,244.89,245.18,246,246.14,249.16,249.29,250.18,245.22
2016-2017,2007-08,88,08,79,Communication & Apparatus,128.59,128.59,128.53,128.91,129.15,129.15,129.15,129.17,130.31,130.43,130.42,130.44,129.4
2016-2017,2007-08,89,09,00,Recreation and culture,195.67,195.77,196.15,196.21,196.4,196.5,196.73,196.88,197.14,196.02,196.12,196.15,196.31
2016-2017,2007-08,90,09,80,Recreation & Culture,128.84,128.83,129.68,129.89,129.92,129.41,129.45,129.61,129.62,129.72,129.73,129.73,129.54
2016-2017,2007-08,91,09,81,Text Books,292.41,292.41,292.41,292.41,292.41,292.41,292.41,292.41,292.41,287.98,287.98,287.98,291.3
2016-2017,2007-08,92,09,82,Newspapers,175.49,175.49,175.49,175.49,175.49,177.62,179.2,179.59,180.53,181.01,181.01,181.16,178.13
2016-2017,2007-08,93,09,83,Stationery,211.89,212.39,212.5,212.35,213.25,213.85,214.16,214.35,215.22,215.42,215.94,215.98,213.94
2016-2017,2007-08,94,10,00,Education,224.09,225.17,230.54,232.15,233.4,233.4,233.41,233.96,233.98,249.2,249.23,249.26,235.65
2016-2017,2007-08,95,10,84,Education,224.09,225.17,230.54,232.15,233.4,233.4,233.41,233.96,233.98,249.2,249.23,249.26,235.65
2016-2017,2007-08,96,11,00,Restaurants and hotels,264.37,265.77,266.11,266.35,267.68,268.22,268.9,269.63,271.02,275.88,277.29,277.76,269.92
2016-2017,2007-08,97,11,85,Readymade Food,264.37,265.77,266.11,266.35,267.68,268.22,268.9,269.63,271.02,275.88,277.29,277.76,269.92
2016-2017,2007-08,98,12,00,Misc. goods and services,235.82,237.38,236.99,237.26,238.33,237.77,238.58,241.06,242.19,244.71,245.99,246.71,240.23
2016-2017,2007-08,99,12,86,Personal Care,215.67,216.52,217.9,218.58,218.97,219.13,219.78,221.97,224.06,225.21,226.79,227.42,221
2016-2017,2007-08,100,12,87,Cosmetics,200.22,200.5,199.36,200.19,201.04,201.47,202.56,203.29,203.77,203.88,204.76,204.96,202.17
2016-2017,2007-08,101,12,88,Blades,195.16,195.93,195.16,195.43,195.66,195.66,196.34,196.91,195.52,195.78,197.8,197.8,196.1
2016-2017,2007-08,102,12,89,Personal Equipments,289.27,292.71,289.57,288.83,291.24,288.94,289.89,293.78,293.59,299.71,300.63,301.76,293.33
2017-2018,2007-08,1,00,00,General,216.19,216.61,217.98,219.61,220.42,220.2,220.27,219.58,220.25,224.25,225.4,226.67,220.62
2017-2018,2007-08,2,01,00,Food and non-alcoholic Beverages,229.99,230.99,234.23,235.69,236.61,235.12,232.25,229.23,228.39,231.9,234.4,236.56,232.95
2017-2018,2007-08,3,01,01,Wheat,191.16,190.51,194.8,197.74,200.97,203.16,206.02,205.66,204.63,198.93,192.37,194,198.33
2017-2018,2007-08,4,01,02,Wheat Flour,204.66,203.1,204.81,207.43,211.55,212.54,212.35,212.84,211.52,210.07,206.09,208.16,208.76
2017-2018,2007-08,5,01,03,Wheat Product,213.98,212.62,213.67,213.11,213.19,215,214.91,214.3,214.16,213.09,212.42,212.75,213.6
2017-2018,2007-08,6,01,04,Besan,283.83,279.13,276.11,280.66,280.28,279.43,274.45,271.63,267.57,263.89,268.4,260.94,273.86
2017-2018,2007-08,7,01,05,Rice,179.16,182.03,182.86,182.85,182.82,184.97,190.46,191.61,192.45,193.68,194.33,193.75,187.58
2017-2018,2007-08,8,01,06,Cereals,255.2,255.72,255.64,257.39,257.56,257.59,257.76,259.02,259.04,261.81,264.3,263.9,258.74
2017-2018,2007-08,9,01,07,Bakery & Confectionary,218.39,218.89,218.99,219.29,221.9,222.54,223.47,224.55,224.66,225.07,225.94,226.64,222.53
2017-2018,2007-08,10,01,08,Nimco,255.18,255.83,255.84,256.68,256.9,257.02,257.87,257.41,258.14,258.88,259.43,259.97,257.43
2017-2018,2007-08,11,01,09,Meat,278.7,284.04,283.65,284.72,285.83,287.23,289.65,290.84,293.53,298.76,301.28,304.41,290.22
2017-2018,2007-08,12,01,10,Chicken,190.36,179.73,150.63,151.2,154.15,190.64,209.57,199.06,207.8,216.82,232.54,230.25,192.73
2017-2018,2007-08,13,01,11,Fish,214.09,216.37,215.33,214.23,217.74,219.86,221.6,221.93,224.31,227.59,228.1,228.77,220.83
2017-2018,2007-08,14,01,12,Milk Fresh,275.62,276.02,276.04,277.04,277.08,277.89,279.02,279.48,279.5,281.77,283.4,283.79,278.89
2017-2018,2007-08,15,01,13,Milk Products,264.4,265.43,267.3,268.1,268.37,268.37,270.72,271.59,272.17,274.91,275.28,275.29,270.16
2017-2018,2007-08,16,01,14,Milk Powder,234.53,234.41,234.64,235.75,236.83,237.44,237.95,238.41,239.08,241.94,243.79,244.05,238.24
2017-2018,2007-08,17,01,15,Eggs,193.19,197.47,205.37,209.55,273.24,265.77,237.31,213.54,198.03,188,189.94,182.83,212.85
2017-2018,2007-08,18,01,16,Mustard Oil,159.87,160.1,160.21,161.44,161.96,162.61,162.43,162.81,162.97,164.66,164.68,163.47,162.27
2017-2018,2007-08,19,01,17,Cooking Oil,138.25,138.09,138.1,138.35,138.58,138.59,138.73,138.56,139.23,140.48,140.71,140.8,139.04
2017-2018,2007-08,20,01,18,Vegetable Ghee,142.8,143.05,143.03,143.26,143.68,143.53,143.9,143.55,143.79,144.61,145.16,146.24,143.88
2017-2018,2007-08,21,01,19,Dry Fruits,264.33,263.32,263.91,265.47,269.66,274.4,277,278.6,279.84,284.15,289.34,291.36,275.12
2017-2018,2007-08,22,01,20,Fresh Fruits,284.14,267.92,238.11,235.56,224.34,225.51,235.92,249.68,266.29,281.64,298.56,314.64,260.19
2017-2018,2007-08,23,01,21,Pulse Masoor,178.6,174.98,171.56,172.34,168.46,163.83,163.84,161.17,160.02,158.21,158.06,155.5,165.55
2017-2018,2007-08,24,01,22,Pulse Moong,243.58,239.1,236.76,231.93,222.21,215.02,219.94,220.84,218.82,218.42,217.5,214.05,224.85
2017-2018,2007-08,25,01,23,Pulse Mash (Washed),279.76,272.32,269.29,255.52,242.09,232.82,229.2,221.64,217.65,214.66,211.12,207.61,237.81
2017-2018,2007-08,26,01,24,Pulse Gram,281.95,276.43,275.47,275.63,269.96,265.48,266.59,264.85,259.27,259.25,255.84,253.65,267.03
2017-2018,2007-08,27,01,25,Gram Whole,287.96,287.53,292.37,297.03,296.37,294.07,292.21,287.97,280.9,277.17,274.09,270.48,286.51
2017-2018,2007-08,28,01,26,Beans,242.51,244.13,242.94,244.14,242.81,240.94,241.72,243.43,245.21,244.53,244.28,244.55,243.43
2017-2018,2007-08,29,01,27,Potatoes,261.3,266.3,267.6,273.63,289.11,287.74,215.41,175,160.07,148.56,174.73,186.58,225.5
2017-2018,2007-08,30,01,28,Onion,181.81,243.4,482.74,491.92,478.11,373.37,338.1,252.59,204.19,182.43,177.74,188.72,299.59
2017-2018,2007-08,31,01,29,Tomatoes,128.96,162.16,256.96,337.71,349.9,244.37,153.38,121.9,97.45,105.7,108.95,154.34,185.15
2017-2018,2007-08,32,01,30,Fresh Vegetables,262.61,264.85,291.76,287.98,287.3,276.29,237.87,218.6,202.58,233.55,239.66,236.17,253.27
2017-2018,2007-08,33,01,31,Sugar,200.46,214.35,200,197.79,193.86,195.22,193.08,186.44,184.51,190.58,190.33,191.51,194.84
2017-2018,2007-08,34,01,32,Gur,260.49,259.38,261.22,263.15,259.06,260.27,257.03,245.06,238.44,240.34,243.56,244.3,252.69
2017-2018,2007-08,35,01,33,Honey,331.37,332.15,332.15,334.28,338.91,339.2,340.27,341.03,341.03,341.92,346.18,346.18,338.72
2017-2018,2007-08,36,01,34,SweetMeat,251.88,252.57,253.51,253.94,254.71,254.71,256.43,256.66,257.09,267.41,270.67,270.86,258.37
2017-2018,2007-08,37,01,35,Beverages,226.09,226.1,226.34,226.52,226.48,225.93,225.94,226.8,227.38,230.6,231.59,232.53,227.69
2017-2018,2007-08,38,01,36,"Jam, Tomato Ketchup & Pickles",218.93,219.51,220.13,221.97,223.06,223.9,224.39,224.88,225.48,228.8,230.45,230.49,224.33
2017-2018,2007-08,39,01,37,Condiments,269.74,270.57,271.56,273.37,273.73,274.69,276.69,277.53,278.51,283.14,284.34,284.91,276.57
2017-2018,2007-08,40,01,38,Spices,236.34,238.53,238.8,239.11,239.01,238.45,239.66,239.8,239.75,243.77,246.93,250.42,240.88
2017-2018,2007-08,41,01,39,Tea,291.89,289.16,284.1,283.79,283.98,284.22,282.72,287.65,296.63,300.65,302.62,304.69,291.01
2017-2018,2007-08,42,02,00,"Alcoholic Beverages, Tobacco",306.67,306.25,304.8,305.31,305.51,305.76,309.16,313.39,316.6,317.7,315.26,314.62,310.09
2017-2018,2007-08,43,02,40,Cigarettes,307.56,307.18,305.67,306.09,306.09,306.13,306.13,306.13,306.62,307.42,307.5,307.85,306.7
2017-2018,2007-08,44,02,41,Betel Leaves & Nuts,252.67,250.15,251.93,258.4,270.67,283.31,493,754.58,922.46,941.86,786.31,725.9,515.94
2017-2018,2007-08,45,03,00,Clothing and footwear,238.66,239.19,239.52,239.94,241.01,241.98,244.09,245.03,245.8,252.06,252.58,253.51,244.45
2017-2018,2007-08,46,03,42,Cotton Cloth,232.33,232.48,232.67,233.43,234.28,234.53,235.59,236.48,238.01,243.75,244.99,245.84,237.03
2017-2018,2007-08,47,03,43,Woolen Cloth,256.6,257.77,257.77,258.28,259.17,259.82,262.43,263.65,264.09,268.3,268.37,265.97,261.85
2017-2018,2007-08,48,03,44,Readymade Garments,247.08,247.56,247.97,248.07,248.53,250.26,254.73,254.72,256.2,262.52,262.95,263.47,253.67
2017-2018,2007-08,49,03,45,Woolen Readymade Garments,258.31,258.31,259.27,259.47,263.43,268.48,268.07,266.71,266.38,266.5,266.5,266.61,264
2017-2018,2007-08,50,03,46,Hosiery,248.56,249.96,251.7,252.12,252.67,254.53,257.89,258.3,259.22,264.9,265.27,265.52,256.72
2017-2018,2007-08,51,03,47,Dopatta,246.51,246.66,246.66,246.72,248.38,249.21,250.57,254.12,255.58,261.67,261.94,262.16,252.52
2017-2018,2007-08,52,03,48,Cleaning and Laundry,270.83,271.61,272.37,272.9,273.92,275.28,280.95,284.23,284.44,290.46,290.46,290.46,279.83
2017-2018,2007-08,53,03,49,Tailoring,322.81,324.27,324.65,325.55,328.5,329.52,333.86,336.77,336.91,343.91,344.9,348.45,333.34
2017-2018,2007-08,54,03,50,Footwear,167.43,167.45,167.46,167.5,167.51,167.58,167.79,167.82,167.95,177.36,177.43,179.84,170.26
2017-2018,2007-08,55,04,00,"Housing, water, Elec., Gas and other fuels",198.88,198.93,198.95,200.9,200.94,201.02,202.53,202.62,202.71,207.35,207.58,207.63,202.5
2017-2018,2007-08,56,04,51,House Rent,191.49,191.49,191.49,194.05,194.05,194.05,195.96,195.96,195.96,201.96,201.96,201.96,195.87
2017-2018,2007-08,57,04,52,Construction Input Items,254.05,254.56,255.47,257.07,257.16,259.48,259.82,261.97,264.4,269.11,270.82,272.48,261.37
2017-2018,2007-08,58,04,53,Construction Wage Rates,242.75,245.58,245.96,246.85,248.82,251.2,253.9,255.15,257.14,262.93,264.7,265.67,253.39
2017-2018,2007-08,59,04,54,Water Supply,171.58,171.58,171.58,171.58,171.58,171.58,172.61,173.82,174.83,177.11,189.09,189.09,175.5
2017-2018,2007-08,60,04,55,Electricity,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1
2017-2018,2007-08,61,04,56,Gas,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08
2017-2018,2007-08,62,04,57,Kerosene Oil,198.67,197.81,198.39,206.26,215.98,225.46,237.33,246.23,259.58,260.44,264.32,269.54,231.67
2017-2018,2007-08,63,04,58,Firewood Whole,290.72,291.56,291.34,293.2,295.15,295.82,300.58,301.93,302.24,301.32,297.93,298.03,296.65
2017-2018,2007-08,64,05,00,Furnishing and household equipment maintenance,227.74,228.05,229.1,229.47,230.52,230.93,232.97,233.5,234.67,239.29,239.94,240.51,233.06
2017-2018,2007-08,65,05,59,Furniture,219.56,220.16,220.81,221.6,223.87,224.47,226.49,227.53,228.22,235.27,235.84,235.86,226.64
2017-2018,2007-08,66,05,60,Household Textiles,229.7,230.07,231.08,232.05,233.22,234.44,235.87,235.96,236.78,242.24,243.3,242.51,235.6
2017-2018,2007-08,67,05,61,Household Equipment,182.79,183.18,183.36,183.44,183.57,183.53,184.14,184.74,185.7,188.5,189.68,190.12,185.23
2017-2018,2007-08,68,05,62,Utensils,232.63,233.8,234.34,235.07,236.75,238.03,240.15,242.26,242.89,248.73,249.89,251,240.46
2017-2018,2007-08,69,05,63,Plastic Products,211.07,211.37,213.05,213.86,215.02,215.3,217.34,218.4,218.99,224.2,225.28,225.46,217.45
2017-2018,2007-08,70,05,64,Washing Soaps & Detergents,232.61,232.8,232.92,233.12,233.4,233.55,234.72,235.23,235.67,238.88,239.22,240.2,235.19
2017-2018,2007-08,71,05,65,Sewing Needle & Dr Cell,207.74,207.74,209.49,209.49,209.8,209.8,210.07,210.07,211.92,217.51,219.11,219.11,211.82
2017-2018,2007-08,72,05,66,Household Servant,254.9,254.9,257.3,257.3,258.89,258.89,262.86,262.86,265.4,270.32,270.32,271.59,262.13
2017-2018,2007-08,73,05,67,Marriage Hall Charges,248.67,249.2,249.2,249.2,249.98,252.09,256.32,257.76,257.76,260.28,260.28,261.86,254.38
2017-2018,2007-08,74,06,00,Health,212.91,213.05,213.9,214.27,214.79,217.33,218.26,220.58,221.26,223.08,223.74,224.36,218.13
2017-2018,2007-08,75,06,68,Drugs & Medicines,185.1,185.27,185.75,185.84,186.14,186.36,186.69,187.75,187.99,188.62,189.28,189.52,187.03
2017-2018,2007-08,76,06,69,Medical Equipments,251.81,251.81,253.35,253.63,253.69,255.46,255.8,256.26,256.26,259.89,259.89,260.09,255.66
2017-2018,2007-08,77,06,70,Doctor (MBBS) Clinic Fee,280.95,280.95,282.22,282.22,282.22,290.92,292.66,298.32,300.06,301.8,302.67,304.41,291.62
2017-2018,2007-08,78,06,71,Medical Tests,196.54,196.81,198.38,200.53,202.91,203.28,205.04,206.26,206.75,213.34,213.7,213.7,204.77
2017-2018,2007-08,79,07,00,Transport,175.18,174.61,175.74,177.05,178.51,179.67,182.63,184.47,186.98,187.48,189.16,194.64,182.18
2017-2018,2007-08,80,07,72,Motor Vehicles,176.06,176.59,176.88,177.56,177.84,177.95,180.02,180.19,185.84,187.45,187.54,187.53,180.95
2017-2018,2007-08,81,07,73,Motor Vehicle Accessories,211.42,211.91,213.57,214.38,214.98,214.92,215.23,215.18,216.02,216.78,216.95,216.26,214.8
2017-2018,2007-08,82,07,74,Motor Fuel,145.84,144.27,146.77,149.58,152.9,155.48,160.55,163.92,167.63,165.17,167.71,173.22,157.75
2017-2018,2007-08,83,07,75,Mechanical Service,231.88,232.07,232.07,232.74,233,233.41,236.37,237.06,238.14,241.91,242.09,244.37,236.26
2017-2018,2007-08,84,07,76,Motor Vehicle Tax,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18,210.18
2017-2018,2007-08,85,07,77,Transport Services,193.59,193.59,193.59,193.59,193.59,193.71,194.89,195.86,196.76,199.74,201.31,209.41,196.64
2017-2018,2007-08,86,08,00,Communication,132.88,133.03,133.04,133.1,133.14,133.15,133.2,133.28,133.37,133.67,133.67,133.61,133.26
2017-2018,2007-08,87,08,78,Postal Services,250.44,250.44,250.69,251.59,253.38,253.38,254.14,255.8,259,272.18,272.18,272.45,257.97
2017-2018,2007-08,88,08,79,Communication & Apparatus,130.41,130.56,130.57,130.61,130.62,130.62,130.67,130.71,130.73,130.77,130.77,130.7,130.65
2017-2018,2007-08,89,09,00,Recreation and culture,196.09,196.33,196.78,196.83,197.14,197.65,198.46,198.62,200.38,207.96,208.32,208.37,200.24
2017-2018,2007-08,90,09,80,Recreation & Culture,129.2,129.38,129.49,129.49,130.03,130.44,131.6,131.62,132.03,134.05,134.12,134.21,131.31
2017-2018,2007-08,91,09,81,Text Books,287.98,287.98,287.98,287.98,287.98,287.98,287.98,287.98,287.98,303.91,304.43,304.43,292.05
2017-2018,2007-08,92,09,82,Newspapers,181.78,182.9,183.76,184.01,184.4,184.59,184.72,186.23,202.81,202.94,202.94,202.94,190.34
2017-2018,2007-08,93,09,83,Stationery,216.54,216.82,218.46,218.6,218.82,220.48,222.01,222,222.02,233.34,234.29,234.35,223.14
2017-2018,2007-08,94,10,00,Education,249.54,249.61,249.61,258.75,262.35,262.35,262.35,262.35,275.17,281.57,281.88,281.89,264.79
2017-2018,2007-08,95,10,84,Education,249.54,249.61,249.61,258.75,262.35,262.35,262.35,262.35,275.17,281.57,281.88,281.89,264.79
2017-2018,2007-08,96,11,00,Restaurants and hotels,278.44,278.44,281.08,283.85,284.76,285.32,286.89,287.21,287.84,291.05,292.77,292.9,285.88
2017-2018,2007-08,97,11,85,Readymade Food,278.44,278.44,281.08,283.85,284.76,285.32,286.89,287.21,287.84,291.05,292.77,292.9,285.88
2017-2018,2007-08,98,12,00,Misc. goods and services,247.19,248.46,250.11,249.67,252.27,253.23,255.69,255.21,256.35,263.59,263.91,264.25,254.99
2017-2018,2007-08,99,12,86,Personal Care,228.11,229.77,230.31,231.11,231.98,232.45,233.68,233.45,234.18,237.36,238.37,239.22,233.33
2017-2018,2007-08,100,12,87,Cosmetics,205.4,205.72,205.83,206.22,206.64,207.4,206.14,206.6,208.65,222.28,223.29,222.58,210.56
2017-2018,2007-08,101,12,88,Blades,197.8,197.8,197.94,197.94,200.95,201.21,201.35,201.62,201.85,203.39,204.05,204.05,200.83
2017-2018,2007-08,102,12,89,Personal Equipments,301.92,302.99,307.36,304.32,310.95,312.92,319.33,317.95,319.45,331.15,329.93,329.88,315.68
2018-2019,2007-08,1,00,00,General,228.8,229.27,229.12,234.49,234.76,233.78,236.11,237.61,240.99,244.03,245.94,246.82,236.81
2018-2019,2007-08,2,01,00,Food and non-alcoholic Beverages,238.08,238.58,236.78,240.5,239.03,235.23,235.91,239.59,247.17,251.63,254.52,254.36,242.62
2018-2019,2007-08,3,01,01,Wheat,198.49,198.97,200.51,203.64,206.42,207.82,209.26,212.26,212.59,208.4,206.61,211.05,206.34
2018-2019,2007-08,4,01,02,Wheat Flour,211.75,212.13,212.55,214.19,215.36,216.23,216.59,216.91,217.34,215.66,217.25,222.06,215.67
2018-2019,2007-08,5,01,03,Wheat Product,213.01,213.31,213.99,214.54,215.82,217.36,218.78,218.51,217.61,215.88,216.71,218.7,216.19
2018-2019,2007-08,6,01,04,Besan,261.62,265.36,266.82,267.01,266.48,270.56,276.26,274.79,275.2,273.96,273.41,275.43,270.58
2018-2019,2007-08,7,01,05,Rice,195.96,197.74,199.02,200.65,199.78,201.41,201.61,201.45,202.28,203.89,204.99,205.7,201.21
2018-2019,2007-08,8,01,06,Cereals,263.9,264.58,264.45,264.48,265.77,267.98,269.22,269.41,270.7,271.41,272.73,273.24,268.16
2018-2019,2007-08,9,01,07,Bakery & Confectionary,228.08,228.93,229.45,229.04,229.76,230.7,232.52,233.6,234.33,234.69,235.1,239.53,232.14
2018-2019,2007-08,10,01,08,Nimco,260.65,260.84,261.61,260.78,261.15,261.71,261.98,263.41,264.08,264.08,264.45,264.99,262.48
2018-2019,2007-08,11,01,09,Meat,309.43,313.81,314.34,318.04,322.09,325.16,329.05,331.09,332.66,336.48,339.83,343.29,326.27
2018-2019,2007-08,12,01,10,Chicken,191.31,152.83,143.44,194,222.68,207.54,170.06,177.16,205.3,225.63,213.6,202.46,192.17
2018-2019,2007-08,13,01,11,Fish,228.91,228.91,223.09,220.02,228.89,230.75,234.73,239.46,242.29,246.88,244.13,240.7,234.06
2018-2019,2007-08,14,01,12,Milk Fresh,285.71,287.03,287.14,286.97,287.73,288.19,290.49,290.78,291.26,293.07,293.43,296.5,289.86
2018-2019,2007-08,15,01,13,Milk Products,277,277.39,278.55,278.92,279.73,279.87,282.97,284.16,284.62,286.28,287.09,288.08,282.06
2018-2019,2007-08,16,01,14,Milk Powder,244.99,245.56,247.39,248.64,251.43,253.78,256.37,257.66,258.38,259.07,259.46,261.52,253.69
2018-2019,2007-08,17,01,15,Eggs,204.79,199.9,194.28,222.28,244.95,241.73,238.67,228.93,214.46,171.82,169.95,172.61,208.7
2018-2019,2007-08,18,01,16,Mustard Oil,164.01,164.27,164.8,164.9,165.01,165.01,167.11,167.25,167.29,169.31,170.41,171.66,166.75
2018-2019,2007-08,19,01,17,Cooking Oil,140.9,141.32,141.62,142.23,143.37,146.12,147.98,148.19,148.45,151.17,151.39,151.69,146.2
2018-2019,2007-08,20,01,18,Vegetable Ghee,146.78,147.39,147.6,148.48,149.98,152.03,152.96,153.22,154.11,156.14,156.47,158.05,151.93
2018-2019,2007-08,21,01,19,Dry Fruits,293.12,293.19,291.02,292.79,297.85,303.03,308.91,311.34,312.73,311.07,313.89,313.7,303.55
2018-2019,2007-08,22,01,20,Fresh Fruits,267.66,259.58,243.78,243.57,225.16,221.04,228.77,233.39,262.61,326.18,355.63,311.78,264.93
2018-2019,2007-08,23,01,21,Pulse Masoor,157.67,157.72,156.97,158.64,159.97,163.64,164.88,165.53,166.04,166.91,167.55,169.78,162.94
2018-2019,2007-08,24,01,22,Pulse Moong,218.06,217.75,217.37,218.49,222.86,231.9,238.23,238.26,268.48,275.65,290.7,305.38,245.26
2018-2019,2007-08,25,01,23,Pulse Mash (Washed),206.51,206.3,207.73,205.28,212.68,218.1,221.02,220.61,220.8,219.98,233.03,241.63,217.81
2018-2019,2007-08,26,01,24,Pulse Gram,257.38,257.89,265.3,266.59,268.87,276.84,282.99,283.17,284.87,282.3,285.07,285.29,274.71
2018-2019,2007-08,27,01,25,Gram Whole,269.64,267.44,265.65,265.11,265.08,266.58,267.54,268.3,266.42,263.21,259.79,260.01,265.4
2018-2019,2007-08,28,01,26,Beans,244.74,245.51,245.51,246.97,250.39,257.17,258.59,266.68,269.96,268.5,273.13,270.65,258.15
2018-2019,2007-08,29,01,27,Potatoes,204.11,218.08,215.21,215.48,230.55,183.9,156.3,142.26,135.14,143.36,180.34,211.51,186.35
2018-2019,2007-08,30,01,28,Onion,200.99,253.14,226.63,216.58,200.31,173.8,164.24,169.85,236.56,248.09,315.54,324.85,227.55
2018-2019,2007-08,31,01,29,Tomatoes,178.46,263.39,231.71,240.62,135.42,106.79,136.22,340.59,404.71,237.08,159.18,144.53,214.89
2018-2019,2007-08,32,01,30,Fresh Vegetables,290.45,280.39,280.93,291.33,257.83,201.68,204.94,208.68,259.66,288.05,286.39,278.79,260.76
2018-2019,2007-08,33,01,31,Sugar,197.72,199.54,197.47,197.97,197.86,200.11,212.42,212.28,218.09,232.83,240.83,255.67,213.57
2018-2019,2007-08,34,01,32,Gur,249.15,252.43,259.35,262.49,260.99,259.69,265.55,271.58,279.41,287.7,299.59,312.32,271.69
2018-2019,2007-08,35,01,33,Honey,348.07,351.07,352.68,356.59,361.11,381.37,383.26,389.58,392.98,399.03,403,406.02,377.06
2018-2019,2007-08,36,01,34,SweetMeat,271.48,271.54,273.01,273.59,274.99,274.96,275.93,277.48,278.37,279.53,283.12,285.9,276.66
2018-2019,2007-08,37,01,35,Beverages,233.36,233.42,233.14,235.01,234.44,233.54,233.73,234.18,234.23,235.98,239.05,240.22,235.03
2018-2019,2007-08,38,01,36,"Jam, Tomato Ketchup & Pickles",231.54,232.81,233.2,235.37,236.33,237.94,238.45,239.5,239.87,241.85,243.64,244.42,237.91
2018-2019,2007-08,39,01,37,Condiments,285.6,286.39,286.64,288.04,289.66,290.89,294.79,297.84,299.19,299.5,300.66,304.45,293.64
2018-2019,2007-08,40,01,38,Spices,259.44,260.82,264.25,269.25,272.35,274.09,276.34,279.54,282.09,286.08,289.38,291.97,275.47
2018-2019,2007-08,41,01,39,Tea,306.22,306.97,307.5,308.83,310.54,315.81,318.33,319.43,319.96,320.98,321.62,322.11,314.86
2018-2019,2007-08,42,02,00,"Alcoholic Beverages, Tobacco",313.65,313.47,314.42,344.03,348,349.35,353.17,354.79,355.5,356.08,357.39,384.13,345.33
2018-2019,2007-08,43,02,40,Cigarettes,307.93,308.24,309.5,339.42,343.62,345.08,349.14,350.86,351.79,352.2,353.23,380.62,340.97
2018-2019,2007-08,44,02,41,Betel Leaves & Nuts,661.19,630.86,613.03,623.88,614.21,608.69,597.65,593.36,580.96,591.41,610.05,597.21,610.21
2018-2019,2007-08,45,03,00,Clothing and footwear,254.13,254.67,255.36,256.1,259.07,260.69,261.58,261.82,263.54,265.36,268.98,269.25,260.88
2018-2019,2007-08,46,03,42,Cotton Cloth,247.24,247.77,248.9,249.22,250.74,252.8,253.16,253.46,259.3,263.74,270.34,270.26,255.58
2018-2019,2007-08,47,03,43,Woolen Cloth,266.09,267.11,268.05,268.51,277.56,279.67,280.3,280.51,278.73,280.61,285.01,285.01,276.43
2018-2019,2007-08,48,03,44,Readymade Garments,264.02,264.49,264.55,266.32,267.64,268.4,269.28,269.46,270.9,272.89,275.68,275.79,269.12
2018-2019,2007-08,49,03,45,Woolen Readymade Garments,266.61,266.61,267.54,267.56,280.1,285.91,289.31,289.31,289.31,289.31,289.77,289.87,280.93
2018-2019,2007-08,50,03,46,Hosiery,265.98,266.49,267.72,269.25,272.44,273.1,274.69,275.19,277.45,279.59,281.08,281.81,273.73
2018-2019,2007-08,51,03,47,Dopatta,263.12,265.73,266.54,267.69,271.05,271.39,271.72,272.04,273.38,275.65,281.95,282.02,271.86
2018-2019,2007-08,52,03,48,Cleaning and Laundry,290.77,291.3,292.02,293.09,295.39,296.59,300.26,300.26,303.52,305.07,307.61,310.23,298.84
2018-2019,2007-08,53,03,49,Tailoring,349.59,349.6,350.43,351.86,353.67,356.47,358.21,358.48,359.07,359.16,364.75,365.95,356.44
2018-2019,2007-08,54,03,50,Footwear,179.77,179.97,180.09,180.14,180.49,180.86,180.9,181.1,181.18,181.19,181.34,181.38,180.7
