fiscal_year,base_year,sr_no,group_code,cmdty_code,description,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,fy_avg_index
2015-2016,2007-08,42,02,00,"Alcoholic Beverages, Tobacco",309.83,309.9,309.97,309.96,312.26,334.66,337.14,337.57,338.77,344.1,346.08,360.75,329.25
2015-2016,2007-08,43,02,40,Cigarettes,311.47,311.47,311.47,311.47,313.74,336.44,338.92,339.36,340.48,345.88,347.85,362.72,330.94
2015-2016,2007-08,44,02,41,Betel Leaves & Nuts,210.25,214.46,218.57,218.45,222.55,226.79,229.04,229.29,234.38,236.22,238.78,241.34,226.68
2015-2016,2007-08,45,03,00,Clothing and footwear,219.65,220.27,220.68,221.89,222.75,223.65,224.36,224.97,226.4,227.87,228.31,229.34,224.18
2015-2016,2007-08,46,03,42,Cotton Cloth,213.49,214.33,215.25,215.33,215.4,215.47,215.77,216.48,218.51,223.11,223.74,224.62,217.63
2015-2016,2007-08,47,03,43,Woolen Cloth,234.73,236.1,236.31,236.95,237.76,239.67,240.17,240.78,243.45,243.14,243.69,244.55,239.78
2015-2016,2007-08,48,03,44,Readymade Garments,225.49,225.84,225.96,226.37,227.22,227.8,228.16,229.79,232.44,234.6,235.32,236.72,229.64
2015-2016,2007-08,49,03,45,Woolen Readymade Garments,240.86,240.86,240.86,245.98,252.19,258.26,260.8,254.84,252.77,252.74,253.2,252.98,250.53
2015-2016,2007-08,50,03,46,Hosiery,232.85,233.85,234.19,235.05,236.08,237.01,238.25,238.88,239.97,240.25,240.43,241.98,237.4
2015-2016,2007-08,51,03,47,Dopatta,232.89,233.88,234.33,234.91,235,235.93,238.99,239.78,240.45,239.49,239.65,240.75,237.17
2015-2016,2007-08,52,03,48,Cleaning and Laundry,238.32,239.56,242.25,245.7,246.39,248.98,249,251.12,252.25,252.29,253.01,253.34,247.68
2015-2016,2007-08,53,03,49,Tailoring,278.39,278.68,278.92,283.94,285.69,286.25,287.43,289.94,292.19,292.96,293.42,296.54,287.03
2015-2016,2007-08,54,03,50,Footwear,164.77,164.95,164.97,165.1,165.14,165.24,165.25,165.44,165.51,166.17,166.23,166.36,165.43
2015-2016,2007-08,56,04,51,House Rent,168.87,168.87,168.87,170.85,170.85,170.85,174.32,174.32,174.32,176.44,176.44,176.44,172.62
2015-2016,2007-08,57,04,52,Construction Input Items,239.75,240.99,241.38,241.36,241.85,242.37,242.65,242.77,241.67,242.85,243.86,244.53,242.17
2015-2016,2007-08,58,04,53,Construction Wage Rates,215.28,216.01,218.33,220.31,223.39,223.74,224.27,225.13,225.24,226.24,226.72,228.82,222.79
2015-2016,2007-08,59,04,54,Water Supply,149.92,149.92,149.92,149.92,149.92,149.92,153.34,161.1,161.1,161.1,161.1,161.6,154.91
2015-2016,2007-08,60,04,55,Electricity,234.69,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,238.1,237.82
2015-2016,2007-08,61,04,56,Gas,143.81,143.81,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,158.08,155.7
2015-2016,2007-08,62,04,57,Kerosene Oil,223.65,216.11,207.65,208.72,211.04,210.91,203.32,189.04,191.37,194.05,195.28,193.53,203.72
2015-2016,2007-08,63,04,58,Firewood Whole,275.52,275.9,275.9,278.99,279.21,281.03,284.11,283.33,283.78,283.25,284.79,284.87,280.89
2015-2016,2007-08,65,05,59,Furniture,205.94,206.08,206.58,206.7,207.09,207.57,207.96,208.62,210,210.33,211.36,211.58,208.32
