fiscal_year,base_year,group_code,cmdty_code,description,fy_avg_index
2017-2018,2007-08,01,29,Tomatoes,185.15
2018-2019,2007-08,01,29,Tomatoes,214.89
2015-2016,2007-08,01,30,Fresh Vegetables,226.21
2016-2017,2007-08,01,30,Fresh Vegetables,263.51
2017-2018,2007-08,01,30,Fresh Vegetables,253.27
2018-2019,2007-08,01,30,Fresh Vegetables,260.76
2015-2016,2007-08,01,31,Sugar,223.1
2016-2017,2007-08,01,31,Sugar,232.6
2017-2018,2007-08,01,31,Sugar,194.84
2018-2019,2007-08,01,31,Sugar,213.57
2015-2016,2007-08,01,32,Gur,275.28
2016-2017,2007-08,01,32,Gur,272.89
2017-2018,2007-08,01,32,Gur,252.69
2018-2019,2007-08,01,32,Gur,271.69
2015-2016,2007-08,01,33,Honey,306.23
2016-2017,2007-08,01,33,Honey,320.6
2017-2018,2007-08,01,33,Honey,338.72
2018-2019,2007-08,01,33,Honey,377.06
2015-2016,2007-08,01,34,SweetMeat,239.27
2016-2017,2007-08,01,34,SweetMeat,246.41
2017-2018,2007-08,01,34,SweetMeat,258.37
2018-2019,2007-08,01,34,SweetMeat,276.66
2015-2016,2007-08,01,35,Beverages,217.16
2016-2017,2007-08,01,35,Beverages,221
2017-2018,2007-08,01,35,Beverages,227.69
2018-2019,2007-08,01,35,Beverages,235.03
2015-2016,2007-08,01,36,"Jam, Tomato Ketchup & Pickles",212.06
2016-2017,2007-08,01,36,"Jam, Tomato Ketchup & Pickles",216.6
2017-2018,2007-08,01,36,"Jam, Tomato Ketchup & Pickles",224.33
2018-2019,2007-08,01,36,"Jam, Tomato Ketchup & Pickles",237.91
2015-2016,2007-08,01,37,Condiments,260.52
2016-2017,2007-08,01,37,Condiments,265.66
2017-2018,2007-08,01,37,Condiments,276.57
2018-2019,2007-08,01,37,Condiments,293.64
2015-2016,2007-08,01,38,Spices,238.66
2016-2017,2007-08,01,38,Spices,239
2017-2018,2007-08,01,38,Spices,240.88
2018-2019,2007-08,01,38,Spices,275.47
2015-2016,2007-08,01,39,Tea,263.77
2016-2017,2007-08,01,39,Tea,269.2
2017-2018,2007-08,01,39,Tea,291.01
2018-2019,2007-08,01,39,Tea,314.86
2015-2016,2007-08,02,00,"Alcoholic Beverages, Tobacco",329.25
2016-2017,2007-08,02,00,"Alcoholic Beverages, Tobacco",368.88
2017-2018,2007-08,02,00,"Alcoholic Beverages, Tobacco",310.09
2018-2019,2007-08,02,00,"Alcoholic Beverages, Tobacco",345.33
2015-2016,2007-08,02,40,Cigarettes,330.94
2016-2017,2007-08,02,40,Cigarettes,370.93
2017-2018,2007-08,02,40,Cigarettes,306.7
2018-2019,2007-08,02,40,Cigarettes,340.97
2015-2016,2007-08,02,41,Betel Leaves & Nuts,226.68
2016-2017,2007-08,02,41,Betel Leaves & Nuts,244.19
