fiscal_year,base_year,group_code,cmdty_code,description,fy_avg_index
2022-2023,2015-16,01,16,Mustard oil,316.45
2023-2024,2015-16,01,16,Mustard oil,292.85
2024-2025,2015-16,01,16,Mustard oil,305.68
2025-2026,2015-16,01,16,Mustard oil,314.39
2019-2020,2015-16,01,17,Cooking oil,135.98
2020-2021,2015-16,01,17,Cooking oil,156.37
2021-2022,2015-16,01,17,Cooking oil,234.46
2022-2023,2015-16,01,17,Cooking oil,340.29
2023-2024,2015-16,01,17,Cooking oil,319.24
2024-2025,2015-16,01,17,Cooking oil,317.93
2025-2026,2015-16,01,17,Cooking oil,335.54
2019-2020,2015-16,01,18,Vegetable ghee,137.76
2020-2021,2015-16,01,18,Vegetable ghee,163.79
2021-2022,2015-16,01,18,Vegetable ghee,246.26
2022-2023,2015-16,01,18,Vegetable ghee,341.86
2023-2024,2015-16,01,18,Vegetable ghee,315.23
2024-2025,2015-16,01,18,Vegetable ghee,333.51
2025-2026,2015-16,01,18,Vegetable ghee,354.26
2019-2020,2015-16,01,19,Dry fruits,126.52
2020-2021,2015-16,01,19,Dry fruits,137.97
2021-2022,2015-16,01,19,Dry fruits,146.81
2022-2023,2015-16,01,19,Dry fruits,198.29
2023-2024,2015-16,01,19,Dry fruits,262.25
2024-2025,2015-16,01,19,Dry fruits,292.96
2025-2026,2015-16,01,19,Dry fruits,312.93
2019-2020,2015-16,01,20,Fresh fruits,129.24
2020-2021,2015-16,01,20,Fresh fruits,127.1
2021-2022,2015-16,01,20,Fresh fruits,150.16
2022-2023,2015-16,01,20,Fresh fruits,206.35
2023-2024,2015-16,01,20,Fresh fruits,207.7
2024-2025,2015-16,01,20,Fresh fruits,242.68
2025-2026,2015-16,01,20,Fresh fruits,265.67
2019-2020,2015-16,01,21,Pulse masoor,96.3
2020-2021,2015-16,01,21,Pulse masoor,105.23
2021-2022,2015-16,01,21,Pulse masoor,139
2022-2023,2015-16,01,21,Pulse masoor,194.66
2023-2024,2015-16,01,21,Pulse masoor,219.83
2024-2025,2015-16,01,21,Pulse masoor,208.12
2025-2026,2015-16,01,21,Pulse masoor,189.57
2019-2020,2015-16,01,22,Pulse moong,134.24
2020-2021,2015-16,01,22,Pulse moong,146.93
2021-2022,2015-16,01,22,Pulse moong,111.62
2022-2023,2015-16,01,22,Pulse moong,158.35
2023-2024,2015-16,01,22,Pulse moong,179.61
2024-2025,2015-16,01,22,Pulse moong,232.38
2025-2026,2015-16,01,22,Pulse moong,237.37
2019-2020,2015-16,01,23,Pulse mash,90.25
2020-2021,2015-16,01,23,Pulse mash,106.69
2021-2022,2015-16,01,23,Pulse mash,114.66
2022-2023,2015-16,01,23,Pulse mash,171.3
2023-2024,2015-16,01,23,Pulse mash,227.99
2024-2025,2015-16,01,23,Pulse mash,216.42
2025-2026,2015-16,01,23,Pulse mash,190.66
2019-2020,2015-16,01,24,Pulse gram,117.98
2020-2021,2015-16,01,24,Pulse gram,120.08
2021-2022,2015-16,01,24,Pulse gram,133.84
2022-2023,2015-16,01,24,Pulse gram,200.93
2023-2024,2015-16,01,24,Pulse gram,206.86
2024-2025,2015-16,01,24,Pulse gram,285.27
2025-2026,2015-16,01,24,Pulse gram,224.81
2019-2020,2015-16,01,25,Gram whohe,124.31
2020-2021,2015-16,01,25,Gram whohe,125.67
2021-2022,2015-16,01,25,Gram whohe,154.33
2022-2023,2015-16,01,25,Gram whohe,244.13
2023-2024,2015-16,01,25,Gram whohe,262.93
2024-2025,2015-16,01,25,Gram whohe,298.92
2025-2026,2015-16,01,25,Gram whohe,252.94
2019-2020,2015-16,01,26,Beans,126.99
2020-2021,2015-16,01,26,Beans,157.33
2021-2022,2015-16,01,26,Beans,178.18
2022-2023,2015-16,01,26,Beans,235.38
2023-2024,2015-16,01,26,Beans,337.69
2024-2025,2015-16,01,26,Beans,378.61
2025-2026,2015-16,01,26,Beans,353.8
2019-2020,2015-16,01,27,Potatoes,180.32
2020-2021,2015-16,01,27,Potatoes,221.36
2021-2022,2015-16,01,27,Potatoes,187.49
2022-2023,2015-16,01,27,Potatoes,254.26
2023-2024,2015-16,01,27,Potatoes,336.19
2024-2025,2015-16,01,27,Potatoes,353.7
2025-2026,2015-16,01,27,Potatoes,251.42
2019-2020,2015-16,01,28,Onions,147.17
2020-2021,2015-16,01,28,Onions,109.3
2021-2022,2015-16,01,28,Onions,119.41
2022-2023,2015-16,01,28,Onions,299.81
2023-2024,2015-16,01,28,Onions,337.02
2024-2025,2015-16,01,28,Onions,253.62
2025-2026,2015-16,01,28,Onions,201.64
2019-2020,2015-16,01,29,Tomatoes,155.77
2020-2021,2015-16,01,29,Tomatoes,165.08
2021-2022,2015-16,01,29,Tomatoes,196.54
2022-2023,2015-16,01,29,Tomatoes,215.85
2023-2024,2015-16,01,29,Tomatoes,272.59
2024-2025,2015-16,01,29,Tomatoes,249.16
2025-2026,2015-16,01,29,Tomatoes,262.59
2019-2020,2015-16,01,30,Fresh vegetables,147.67
2020-2021,2015-16,01,30,Fresh vegetables,145
2021-2022,2015-16,01,30,Fresh vegetables,160.66
2022-2023,2015-16,01,30,Fresh vegetables,201.35
2023-2024,2015-16,01,30,Fresh vegetables,251.53
2024-2025,2015-16,01,30,Fresh vegetables,258.99
2025-2026,2015-16,01,30,Fresh vegetables,246.33
2019-2020,2015-16,01,31,Sugar,122.83
2020-2021,2015-16,01,31,Sugar,151.63
2021-2022,2015-16,01,31,Sugar,152.62
2022-2023,2015-16,01,31,Sugar,160.54
2023-2024,2015-16,01,31,Sugar,233.6
2024-2025,2015-16,01,31,Sugar,244.14
2025-2026,2015-16,01,31,Sugar,267.39
2019-2020,2015-16,01,32,Gur,131.48
2020-2021,2015-16,01,32,Gur,144.54
2021-2022,2015-16,01,32,Gur,158.67
2022-2023,2015-16,01,32,Gur,168.01
2023-2024,2015-16,01,32,Gur,240.94
2024-2025,2015-16,01,32,Gur,245.38
2025-2026,2015-16,01,32,Gur,268.97
2019-2020,2015-16,01,33,Honey,116.82
2020-2021,2015-16,01,33,Honey,129.87
2021-2022,2015-16,01,33,Honey,148
2022-2023,2015-16,01,33,Honey,167.71
2023-2024,2015-16,01,33,Honey,177.59
2024-2025,2015-16,01,33,Honey,208.49
2025-2026,2015-16,01,33,Honey,222.61
2019-2020,2015-16,01,34,Sweetmeat,135.81
2020-2021,2015-16,01,34,Sweetmeat,148.4
2021-2022,2015-16,01,34,Sweetmeat,176.44
2022-2023,2015-16,01,34,Sweetmeat,227.22
2023-2024,2015-16,01,34,Sweetmeat,287.28
2024-2025,2015-16,01,34,Sweetmeat,316.97
2025-2026,2015-16,01,34,Sweetmeat,338.38
2019-2020,2015-16,01,35,Ice cream,123.81
2020-2021,2015-16,01,35,Ice cream,137.67
2021-2022,2015-16,01,35,Ice cream,147.15
2022-2023,2015-16,01,35,Ice cream,173.75
2023-2024,2015-16,01,35,Ice cream,198.24
2024-2025,2015-16,01,35,Ice cream,199.4
2025-2026,2015-16,01,35,Ice cream,205.24
2019-2020,2015-16,01,36,Condiments and Spices,152.4
2020-2021,2015-16,01,36,Condiments and Spices,203.71
2021-2022,2015-16,01,36,Condiments and Spices,195.86
2022-2023,2015-16,01,36,Condiments and Spices,198.71
2023-2024,2015-16,01,36,Condiments and Spices,315.1
2024-2025,2015-16,01,36,Condiments and Spices,344.72
2025-2026,2015-16,01,36,Condiments and Spices,378.44
2019-2020,2015-16,01,37,Dessert preparation,117.86
2020-2021,2015-16,01,37,Dessert preparation,128.63
2021-2022,2015-16,01,37,Dessert preparation,137.79
2022-2023,2015-16,01,37,Dessert preparation,210.85
2023-2024,2015-16,01,37,Dessert preparation,263.81
2024-2025,2015-16,01,37,Dessert preparation,269.31
2025-2026,2015-16,01,37,Dessert preparation,301.5
2019-2020,2015-16,01,38,Tea,138.39
2020-2021,2015-16,01,38,Tea,140.77
2021-2022,2015-16,01,38,Tea,152.28
2022-2023,2015-16,01,38,Tea,258.09
2023-2024,2015-16,01,38,Tea,342.19
2024-2025,2015-16,01,38,Tea,310.66
2025-2026,2015-16,01,38,Tea,273.67
2019-2020,2015-16,01,39,Beverages,122.25
2020-2021,2015-16,01,39,Beverages,128.81
2021-2022,2015-16,01,39,Beverages,137.36
2022-2023,2015-16,01,39,Beverages,172.78
2023-2024,2015-16,01,39,Beverages,235.88
2024-2025,2015-16,01,39,Beverages,255.13
2025-2026,2015-16,01,39,Beverages,263.59
2019-2020,2015-16,02,00,"Alcoholic Beverages, Tobacco",143.25
2020-2021,2015-16,02,00,"Alcoholic Beverages, Tobacco",151.95
2021-2022,2015-16,02,00,"Alcoholic Beverages, Tobacco",158.71
2022-2023,2015-16,02,00,"Alcoholic Beverages, Tobacco",265.28
2023-2024,2015-16,02,00,"Alcoholic Beverages, Tobacco",385.47
2024-2025,2015-16,02,00,"Alcoholic Beverages, Tobacco",410.51
2025-2026,2015-16,02,00,"Alcoholic Beverages, Tobacco",424.27
2019-2020,2015-16,02,40,Cigarettes,134.67
2020-2021,2015-16,02,40,Cigarettes,140.77
2021-2022,2015-16,02,40,Cigarettes,144.86
2022-2023,2015-16,02,40,Cigarettes,255.85
2023-2024,2015-16,02,40,Cigarettes,385.79
2024-2025,2015-16,02,40,Cigarettes,405.69
2025-2026,2015-16,02,40,Cigarettes,413.79
2019-2020,2015-16,02,41,Pan prepared,188.04
2020-2021,2015-16,02,41,Pan prepared,210.35
2021-2022,2015-16,02,41,Pan prepared,231.03
2022-2023,2015-16,02,41,Pan prepared,314.53
2023-2024,2015-16,02,41,Pan prepared,383.76
2024-2025,2015-16,02,41,Pan prepared,435.72
2025-2026,2015-16,02,41,Pan prepared,479.01
2019-2020,2015-16,03,00,Clothing and footwear,126.9
2020-2021,2015-16,03,00,Clothing and footwear,139.43
2021-2022,2015-16,03,00,Clothing and footwear,154.51
2022-2023,2015-16,03,00,Clothing and footwear,183.75
2023-2024,2015-16,03,00,Clothing and footwear,215.01
2024-2025,2015-16,03,00,Clothing and footwear,244.88
2025-2026,2015-16,03,00,Clothing and footwear,262.66
2019-2020,2015-16,03,42,Cotton cloth,128.03
2020-2021,2015-16,03,42,Cotton cloth,143.55
2021-2022,2015-16,03,42,Cotton cloth,159.26
2022-2023,2015-16,03,42,Cotton cloth,198.92
2023-2024,2015-16,03,42,Cotton cloth,247.76
2024-2025,2015-16,03,42,Cotton cloth,284.33
2025-2026,2015-16,03,42,Cotton cloth,302.62
2019-2020,2015-16,03,43,Woolen cloth,121.4
2020-2021,2015-16,03,43,Woolen cloth,135.89
2021-2022,2015-16,03,43,Woolen cloth,148.19
2022-2023,2015-16,03,43,Woolen cloth,177.78
2023-2024,2015-16,03,43,Woolen cloth,211.73
2024-2025,2015-16,03,43,Woolen cloth,234.99
2025-2026,2015-16,03,43,Woolen cloth,254.68
2019-2020,2015-16,03,44,Readymade garments,127.98
2020-2021,2015-16,03,44,Readymade garments,134.67
2021-2022,2015-16,03,44,Readymade garments,144.83
2022-2023,2015-16,03,44,Readymade garments,168.67
2023-2024,2015-16,03,44,Readymade garments,194.85
2024-2025,2015-16,03,44,Readymade garments,211.78
2025-2026,2015-16,03,44,Readymade garments,226.47
2019-2020,2015-16,03,45,Woolen readymade garments,122.46
2020-2021,2015-16,03,45,Woolen readymade garments,136.46
2021-2022,2015-16,03,45,Woolen readymade garments,151.59
2022-2023,2015-16,03,45,Woolen readymade garments,177.09
2023-2024,2015-16,03,45,Woolen readymade garments,213.21
2024-2025,2015-16,03,45,Woolen readymade garments,247.32
2025-2026,2015-16,03,45,Woolen readymade garments,267.63
2019-2020,2015-16,03,46,Tailoring,134.39
2020-2021,2015-16,03,46,Tailoring,144.23
2021-2022,2015-16,03,46,Tailoring,157.85
2022-2023,2015-16,03,46,Tailoring,187.69
2023-2024,2015-16,03,46,Tailoring,211
2024-2025,2015-16,03,46,Tailoring,230.91
2025-2026,2015-16,03,46,Tailoring,247.6
2019-2020,2015-16,03,47,Hosiry,125.72
2020-2021,2015-16,03,47,Hosiry,137.01
2021-2022,2015-16,03,47,Hosiry,151.75
2022-2023,2015-16,03,47,Hosiry,176.3
2023-2024,2015-16,03,47,Hosiry,203.9
2024-2025,2015-16,03,47,Hosiry,232.44
2025-2026,2015-16,03,47,Hosiry,242.66
2019-2020,2015-16,03,48,Dopatta,119.88
2020-2021,2015-16,03,48,Dopatta,127.51
2021-2022,2015-16,03,48,Dopatta,134.04
2022-2023,2015-16,03,48,Dopatta,154.02
2023-2024,2015-16,03,48,Dopatta,176.92
2024-2025,2015-16,03,48,Dopatta,199.08
2025-2026,2015-16,03,48,Dopatta,208.31
2019-2020,2015-16,03,49,Cleaning and laundring,128.75
2020-2021,2015-16,03,49,Cleaning and laundring,144.14
2021-2022,2015-16,03,49,Cleaning and laundring,171.03
2022-2023,2015-16,03,49,Cleaning and laundring,216.13
2023-2024,2015-16,03,49,Cleaning and laundring,249.97
2024-2025,2015-16,03,49,Cleaning and laundring,263.56
2025-2026,2015-16,03,49,Cleaning and laundring,284.45
2019-2020,2015-16,03,50,Footware,124.27
2020-2021,2015-16,03,50,Footware,138.67
2021-2022,2015-16,03,50,Footware,160.36
2022-2023,2015-16,03,50,Footware,180.91
2023-2024,2015-16,03,50,Footware,195
2024-2025,2015-16,03,50,Footware,238.03
2025-2026,2015-16,03,50,Footware,259.73
2019-2020,2015-16,04,00,"Housing, water, Elec., Gas and other fuels",130.02
2020-2021,2015-16,04,00,"Housing, water, Elec., Gas and other fuels",137.44
2021-2022,2015-16,04,00,"Housing, water, Elec., Gas and other fuels",150.58
2022-2023,2015-16,04,00,"Housing, water, Elec., Gas and other fuels",167.93
2023-2024,2015-16,04,00,"Housing, water, Elec., Gas and other fuels",225
2024-2025,2015-16,04,00,"Housing, water, Elec., Gas and other fuels",243.11
2025-2026,2015-16,04,00,"Housing, water, Elec., Gas and other fuels",266.02
2019-2020,2015-16,04,51,House rent,128.41
2020-2021,2015-16,04,51,House rent,134.82
2021-2022,2015-16,04,51,House rent,143.03
2022-2023,2015-16,04,51,House rent,150.77
2023-2024,2015-16,04,51,House rent,159.09
2024-2025,2015-16,04,51,House rent,167.09
2025-2026,2015-16,04,51,House rent,176.93
2019-2020,2015-16,04,52,Construcion input items,140.87
2020-2021,2015-16,04,52,Construcion input items,149
2021-2022,2015-16,04,52,Construcion input items,166
2022-2023,2015-16,04,52,Construcion input items,220
2023-2024,2015-16,04,52,Construcion input items,258.2
2024-2025,2015-16,04,52,Construcion input items,265.6
2025-2026,2015-16,04,52,Construcion input items,272.8
2019-2020,2015-16,04,53,Construction wage rates,145.92
2020-2021,2015-16,04,53,Construction wage rates,153.37
2021-2022,2015-16,04,53,Construction wage rates,165.06
2022-2023,2015-16,04,53,Construction wage rates,190.51
2023-2024,2015-16,04,53,Construction wage rates,211.23
2024-2025,2015-16,04,53,Construction wage rates,221.28
2025-2026,2015-16,04,53,Construction wage rates,234.57
2019-2020,2015-16,04,54,Water supply,131.17
2020-2021,2015-16,04,54,Water supply,156.06
2021-2022,2015-16,04,54,Water supply,163.54
2022-2023,2015-16,04,54,Water supply,171.38
2023-2024,2015-16,04,54,Water supply,196.62
2024-2025,2015-16,04,54,Water supply,221.67
2025-2026,2015-16,04,54,Water supply,238.53
2019-2020,2015-16,04,55,Garbage collection,151.71
2020-2021,2015-16,04,55,Garbage collection,171.48
2021-2022,2015-16,04,55,Garbage collection,182.23
2022-2023,2015-16,04,55,Garbage collection,207.64
2023-2024,2015-16,04,55,Garbage collection,239.88
2024-2025,2015-16,04,55,Garbage collection,258.52
2025-2026,2015-16,04,55,Garbage collection,268.08
2019-2020,2015-16,04,56,Electricity charges,114.09
2020-2021,2015-16,04,56,Electricity charges,126.4
2021-2022,2015-16,04,56,Electricity charges,155.03
2022-2023,2015-16,04,56,Electricity charges,194.76
2023-2024,2015-16,04,56,Electricity charges,296.5
2024-2025,2015-16,04,56,Electricity charges,264.84
2025-2026,2015-16,04,56,Electricity charges,267.89
2019-2020,2015-16,04,57,Gas charges,216.94
2020-2021,2015-16,04,57,Gas charges,216.94
2021-2022,2015-16,04,57,Gas charges,216.94
2022-2023,2015-16,04,57,Gas charges,273.72
2023-2024,2015-16,04,57,Gas charges,1070.07
2024-2025,2015-16,04,57,Gas charges,1479.08
2025-2026,2015-16,04,57,Gas charges,1817.96
2019-2020,2015-16,04,58,Liquified Hydrocarbons,144.03
2020-2021,2015-16,04,58,Liquified Hydrocarbons,141.37
2021-2022,2015-16,04,58,Liquified Hydrocarbons,236.23
2022-2023,2015-16,04,58,Liquified Hydrocarbons,297.9
2023-2024,2015-16,04,58,Liquified Hydrocarbons,316.47
2024-2025,2015-16,04,58,Liquified Hydrocarbons,332.17
2025-2026,2015-16,04,58,Liquified Hydrocarbons,383.31
2019-2020,2015-16,04,59,Solid Fuel,112.1
2020-2021,2015-16,04,59,Solid Fuel,118.47
2021-2022,2015-16,04,59,Solid Fuel,129.55
2022-2023,2015-16,04,59,Solid Fuel,162.56
2023-2024,2015-16,04,59,Solid Fuel,195.05
2024-2025,2015-16,04,59,Solid Fuel,218.77
2025-2026,2015-16,04,59,Solid Fuel,238.78
2019-2020,2015-16,05,00,Furnishing and household equipment maintenance,126.27
2020-2021,2015-16,05,00,Furnishing and household equipment maintenance,135.34
2022-2023,2015-16,05,00,Furnishing and household equipment maintenance,199.42
2023-2024,2015-16,05,00,Furnishing and household equipment maintenance,251.32
2024-2025,2015-16,05,00,Furnishing and household equipment maintenance,263.58
2019-2020,2015-16,05,60,Furniture and furnishing,125.47
2020-2021,2015-16,05,60,Furniture and furnishing,137.4
2021-2022,2015-16,05,60,Furniture and furnishing,150.51
2022-2023,2015-16,05,60,Furniture and furnishing,186.7
2023-2024,2015-16,05,60,Furniture and furnishing,232.04
2024-2025,2015-16,05,60,Furniture and furnishing,255.03
2025-2026,2015-16,05,60,Furniture and furnishing,266.18
2019-2020,2015-16,05,61,Carpets,108.9
2020-2021,2015-16,05,61,Carpets,112.71
2021-2022,2015-16,05,61,Carpets,119.06
2022-2023,2015-16,05,61,Carpets,134.4
2023-2024,2015-16,05,61,Carpets,147.04
2024-2025,2015-16,05,61,Carpets,150.64
2025-2026,2015-16,05,61,Carpets,156.76
2019-2020,2015-16,05,62,Household textiles,124.32
2020-2021,2015-16,05,62,Household textiles,131.79
2021-2022,2015-16,05,62,Household textiles,139.6
2022-2023,2015-16,05,62,Household textiles,158.23
2023-2024,2015-16,05,62,Household textiles,177.99
2024-2025,2015-16,05,62,Household textiles,201.01
2025-2026,2015-16,05,62,Household textiles,214.3
2019-2020,2015-16,05,63,Household equipments,125.13
2020-2021,2015-16,05,63,Household equipments,135.6
2021-2022,2015-16,05,63,Household equipments,154.21
2022-2023,2015-16,05,63,Household equipments,197.9
2023-2024,2015-16,05,63,Household equipments,249.15
2024-2025,2015-16,05,63,Household equipments,263.88
2025-2026,2015-16,05,63,Household equipments,279.14
2019-2020,2015-16,05,64,Plastic products,115.79
2020-2021,2015-16,05,64,Plastic products,120.37
2021-2022,2015-16,05,64,Plastic products,134.24
2022-2023,2015-16,05,64,Plastic products,166.5
2023-2024,2015-16,05,64,Plastic products,201.22
2024-2025,2015-16,05,64,Plastic products,218.37
2025-2026,2015-16,05,64,Plastic products,236.55
2019-2020,2015-16,05,65,Major tools & equipments,119.34
2020-2021,2015-16,05,65,Major tools & equipments,133.29
2021-2022,2015-16,05,65,Major tools & equipments,148.87
2022-2023,2015-16,05,65,Major tools & equipments,185.84
2023-2024,2015-16,05,65,Major tools & equipments,219.03
2024-2025,2015-16,05,65,Major tools & equipments,238.65
2025-2026,2015-16,05,65,Major tools & equipments,260.44
2019-2020,2015-16,05,66,Washing soap/detergents/match box,126.59
2020-2021,2015-16,05,66,Washing soap/detergents/match box,137.06
2021-2022,2015-16,05,66,Washing soap/detergents/match box,158.99
2022-2023,2015-16,05,66,Washing soap/detergents/match box,234.94
2023-2024,2015-16,05,66,Washing soap/detergents/match box,316.81
2024-2025,2015-16,05,66,Washing soap/detergents/match box,322.03
2025-2026,2015-16,05,66,Washing soap/detergents/match box,326.13
2019-2020,2015-16,05,67,Household servant,130.04
2020-2021,2015-16,05,67,Household servant,134.1
2021-2022,2015-16,05,67,Household servant,142.18
2022-2023,2015-16,05,67,Household servant,167.48
2023-2024,2015-16,05,67,Household servant,186.58
2024-2025,2015-16,05,67,Household servant,197.03
2025-2026,2015-16,05,67,Household servant,210.24
2019-2020,2015-16,06,00,Health,137.24
2020-2021,2015-16,06,00,Health,148.22
2021-2022,2015-16,06,00,Health,162.67
2022-2023,2015-16,06,00,Health,188.05
2023-2024,2015-16,06,00,Health,231.37
2024-2025,2015-16,06,00,Health,266.43
2025-2026,2015-16,06,00,Health,286.02
2019-2020,2015-16,06,68,Drugs and medicines,136.16
2020-2021,2015-16,06,68,Drugs and medicines,147.4
2021-2022,2015-16,06,68,Drugs and medicines,163.9
2022-2023,2015-16,06,68,Drugs and medicines,192.93
2023-2024,2015-16,06,68,Drugs and medicines,246.34
2024-2025,2015-16,06,68,Drugs and medicines,285.44
2025-2026,2015-16,06,68,Drugs and medicines,307.58
2019-2020,2015-16,06,69,Therapeutic Appliances and Equipme,107.28
2020-2021,2015-16,06,69,Therapeutic Appliances and Equipme,115.1
2021-2022,2015-16,06,69,Therapeutic Appliances and Equipme,119.97
2022-2023,2015-16,06,69,Therapeutic Appliances and Equipme,127.52
2023-2024,2015-16,06,69,Therapeutic Appliances and Equipme,144.81
2024-2025,2015-16,06,69,Therapeutic Appliances and Equipme,153.42
2025-2026,2015-16,06,69,Therapeutic Appliances and Equipme,156.71
2019-2020,2015-16,06,70,Doctor (MBBS) clinic fee,163.53
2020-2021,2015-16,06,70,Doctor (MBBS) clinic fee,185.07
2021-2022,2015-16,06,70,Doctor (MBBS) clinic fee,202.44
2022-2023,2015-16,06,70,Doctor (MBBS) clinic fee,240.47
2023-2024,2015-16,06,70,Doctor (MBBS) clinic fee,289.9
2024-2025,2015-16,06,70,Doctor (MBBS) clinic fee,333.73
2025-2026,2015-16,06,70,Doctor (MBBS) clinic fee,360.16
2019-2020,2015-16,06,71,Dental services,116.58
2020-2021,2015-16,06,71,Dental services,124.32
2021-2022,2015-16,06,71,Dental services,132.37
2022-2023,2015-16,06,71,Dental services,148.86
2023-2024,2015-16,06,71,Dental services,176.19
2024-2025,2015-16,06,71,Dental services,218.8
2025-2026,2015-16,06,71,Dental services,235.8
2019-2020,2015-16,06,72,Medical tests,123.37
2020-2021,2015-16,06,72,Medical tests,131.43
2021-2022,2015-16,06,72,Medical tests,139.86
2022-2023,2015-16,06,72,Medical tests,161.69
2023-2024,2015-16,06,72,Medical tests,184.01
2024-2025,2015-16,06,72,Medical tests,205.74
2025-2026,2015-16,06,72,Medical tests,223.05
2019-2020,2015-16,06,73,Hospitals services,127.3
2020-2021,2015-16,06,73,Hospitals services,131.7
2021-2022,2015-16,06,73,Hospitals services,142.98
2022-2023,2015-16,06,73,Hospitals services,154.49
2023-2024,2015-16,06,73,Hospitals services,184
2024-2025,2015-16,06,73,Hospitals services,210.84
2025-2026,2015-16,06,73,Hospitals services,222.02
2019-2020,2015-16,07,00,Transport,139.54
2020-2021,2015-16,07,00,Transport,141.09
2021-2022,2015-16,07,00,Transport,175.68
2022-2023,2015-16,07,00,Transport,260.23
2023-2024,2015-16,07,00,Transport,304.37
2024-2025,2015-16,07,00,Transport,301.65
2025-2026,2015-16,07,00,Transport,337.59
2019-2020,2015-16,07,74,Motor vehicles,145.62
2020-2021,2015-16,07,74,Motor vehicles,151.64
2021-2022,2015-16,07,74,Motor vehicles,165.76
2022-2023,2015-16,07,74,Motor vehicles,223.51
2023-2024,2015-16,07,74,Motor vehicles,255.66
2024-2025,2015-16,07,74,Motor vehicles,260.16
2025-2026,2015-16,07,74,Motor vehicles,267.53
2019-2020,2015-16,07,75,Motor vehicle accessories,125.91
2020-2021,2015-16,07,75,Motor vehicle accessories,136.67
2021-2022,2015-16,07,75,Motor vehicle accessories,156.03
2022-2023,2015-16,07,75,Motor vehicle accessories,209.51
2023-2024,2015-16,07,75,Motor vehicle accessories,250.61
2024-2025,2015-16,07,75,Motor vehicle accessories,262.32
2025-2026,2015-16,07,75,Motor vehicle accessories,269.88
2019-2020,2015-16,07,76,Motor fuel,149.74
2020-2021,2015-16,07,76,Motor fuel,148.31
2021-2022,2015-16,07,76,Motor fuel,204.34
2022-2023,2015-16,07,76,Motor fuel,330.98
2023-2024,2015-16,07,76,Motor fuel,376.89
2024-2025,2015-16,07,76,Motor fuel,349.53
2025-2026,2015-16,07,76,Motor fuel,396.43
2019-2020,2015-16,07,77,Mechanical services,127.2
2020-2021,2015-16,07,77,Mechanical services,135.01
2021-2022,2015-16,07,77,Mechanical services,148.65
2022-2023,2015-16,07,77,Mechanical services,181.73
2023-2024,2015-16,07,77,Mechanical services,216.67
2024-2025,2015-16,07,77,Mechanical services,231.23
2025-2026,2015-16,07,77,Mechanical services,248.05
2019-2020,2015-16,07,78,Motor vehicle tax,126.72
2020-2021,2015-16,07,78,Motor vehicle tax,126.72
2021-2022,2015-16,07,78,Motor vehicle tax,136.37
2022-2023,2015-16,07,78,Motor vehicle tax,147.52
2023-2024,2015-16,07,78,Motor vehicle tax,148.53
2024-2025,2015-16,07,78,Motor vehicle tax,378.34
2025-2026,2015-16,07,78,Motor vehicle tax,399.23
2019-2020,2015-16,07,79,Transport services,124.63
2020-2021,2015-16,07,79,Transport services,126.57
2021-2022,2015-16,07,79,Transport services,142.44
2022-2023,2015-16,07,79,Transport services,187.49
2023-2024,2015-16,07,79,Transport services,238
2024-2025,2015-16,07,79,Transport services,260.7
2025-2026,2015-16,07,79,Transport services,299.9
2019-2020,2015-16,08,00,Communication,108.08
2020-2021,2015-16,08,00,Communication,109.02
2021-2022,2015-16,08,00,Communication,112.53
2022-2023,2015-16,08,00,Communication,117.24
2023-2024,2015-16,08,00,Communication,131.5
2024-2025,2015-16,08,00,Communication,138.39
2025-2026,2015-16,08,00,Communication,139.14
2019-2020,2015-16,08,80,Postal services,147.05
2020-2021,2015-16,08,80,Postal services,153.71
2021-2022,2015-16,08,80,Postal services,165.66
2022-2023,2015-16,08,80,Postal services,187.86
2023-2024,2015-16,08,80,Postal services,205.9
2024-2025,2015-16,08,80,Postal services,217.12
2025-2026,2015-16,08,80,Postal services,249.8
2019-2020,2015-16,08,81,Communication apparatus,117.99
2020-2021,2015-16,08,81,Communication apparatus,119.21
2021-2022,2015-16,08,81,Communication apparatus,129.28
2022-2023,2015-16,08,81,Communication apparatus,150.5
2023-2024,2015-16,08,81,Communication apparatus,188.52
2024-2025,2015-16,08,81,Communication apparatus,188.49
2025-2026,2015-16,08,81,Communication apparatus,191.02
2019-2020,2015-16,08,82,Communication Services,105.3
2020-2021,2015-16,08,82,Communication Services,106.12
2021-2022,2015-16,08,82,Communication Services,107.97
2022-2023,2015-16,08,82,Communication Services,108.53
2023-2024,2015-16,08,82,Communication Services,117.04
2024-2025,2015-16,08,82,Communication Services,125.55
2025-2026,2015-16,08,82,Communication Services,125.55
2019-2020,2015-16,09,00,Recreation and culture,117.21
2020-2021,2015-16,09,00,Recreation and culture,121.12
2021-2022,2015-16,09,00,Recreation and culture,131.14
2022-2023,2015-16,09,00,Recreation and culture,185.16
2023-2024,2015-16,09,00,Recreation and culture,246.38
2024-2025,2015-16,09,00,Recreation and culture,258.22
2025-2026,2015-16,09,00,Recreation and culture,249.99
2019-2020,2015-16,09,83,Recreation and culture,108.92
2020-2021,2015-16,09,83,Recreation and culture,112.4
2021-2022,2015-16,09,83,Recreation and culture,117.32
2022-2023,2015-16,09,83,Recreation and culture,134.1
2023-2024,2015-16,09,83,Recreation and culture,148.9
2024-2025,2015-16,09,83,Recreation and culture,154.19
